instance_id,pair_id,text1_lang,text2_lang,text1,text2,reverse_pair_id,label
dico_phrasis_0000001__es-es__flipped,dico_phrasis_0000001,es,es,Oposición conservadora,Conservadores,dico_phrasis_0000001__es-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000001__es-es__original,dico_phrasis_0000001,es,es,Conservadores,Oposición conservadora,dico_phrasis_0000001__es-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000003__es-es__flipped,dico_phrasis_0000003,es,es,el primer ministro japonés Shinzo Abe,Abe,dico_phrasis_0000003__es-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000003__es-es__original,dico_phrasis_0000003,es,es,Abe,el primer ministro japonés Shinzo Abe,dico_phrasis_0000003__es-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000005__es-es__flipped,dico_phrasis_0000005,es,es,misiles balísticos,misiles,dico_phrasis_0000005__es-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000005__es-es__original,dico_phrasis_0000005,es,es,misiles,misiles balísticos,dico_phrasis_0000005__es-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000006__es-es__flipped,dico_phrasis_0000006,es,es,entre todos los muertos,entre 9 muertos,dico_phrasis_0000006__es-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000006__es-es__original,dico_phrasis_0000006,es,es,entre 9 muertos,entre todos los muertos,dico_phrasis_0000006__es-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000009__es-es__flipped,dico_phrasis_0000009,es,es,89 muertos,22 muertos,dico_phrasis_0000009__es-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000009__es-es__original,dico_phrasis_0000009,es,es,22 muertos,89 muertos,dico_phrasis_0000009__es-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000011__es-es__flipped,dico_phrasis_0000011,es,es,victoria aplastante,victoria,dico_phrasis_0000011__es-es__original,FORWARD_ENTAILMENT
dico_phrasis_0000011__es-es__original,dico_phrasis_0000011,es,es,victoria,victoria aplastante,dico_phrasis_0000011__es-es__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000012__es-es__flipped,dico_phrasis_0000012,es,es,en cualquier cama de hospital,en un hospital,dico_phrasis_0000012__es-es__original,FORWARD_ENTAILMENT
