instance_id,pair_id,text1_lang,text2_lang,text1,text2,label
dico_phrasis_0000001__en-en__flipped,dico_phrasis_0000001,en,en,Conservative opposition,Conservatives,FORWARD_ENTAILMENT
dico_phrasis_0000001__en-en__original,dico_phrasis_0000001,en,en,Conservatives,Conservative opposition,BACKWARD_ENTAILMENT
dico_phrasis_0000003__en-en__flipped,dico_phrasis_0000003,en,en,Japanese PM Shinzo Abe,Abe,FORWARD_ENTAILMENT
dico_phrasis_0000003__en-en__original,dico_phrasis_0000003,en,en,Abe,Japanese PM Shinzo Abe,BACKWARD_ENTAILMENT
dico_phrasis_0000005__en-en__flipped,dico_phrasis_0000005,en,en,ballistic missiles,missiles,FORWARD_ENTAILMENT
dico_phrasis_0000005__en-en__original,dico_phrasis_0000005,en,en,missiles,ballistic missiles,BACKWARD_ENTAILMENT
dico_phrasis_0000006__en-en__flipped,dico_phrasis_0000006,en,en,among all dead,among 9 killed,FORWARD_ENTAILMENT
dico_phrasis_0000006__en-en__original,dico_phrasis_0000006,en,en,among 9 killed,among all dead,BACKWARD_ENTAILMENT
dico_phrasis_0000009__en-en__flipped,dico_phrasis_0000009,en,en,89 dead,22 Dead,FORWARD_ENTAILMENT
dico_phrasis_0000009__en-en__original,dico_phrasis_0000009,en,en,22 Dead,89 dead,BACKWARD_ENTAILMENT
dico_phrasis_0000011__en-en__flipped,dico_phrasis_0000011,en,en,Landslide Win,'s win,FORWARD_ENTAILMENT
dico_phrasis_0000011__en-en__original,dico_phrasis_0000011,en,en,'s win,Landslide Win,BACKWARD_ENTAILMENT
dico_phrasis_0000012__en-en__flipped,dico_phrasis_0000012,en,en,in any hospital bed,in hospital,FORWARD_ENTAILMENT
dico_phrasis_0000012__en-en__original,dico_phrasis_0000012,en,en,in hospital,in any hospital bed,BACKWARD_ENTAILMENT
dico_phrasis_0000013__en-en__flipped,dico_phrasis_0000013,en,en,as Sindh Assembly deputy speaker,Deputy Speaker of SA,FORWARD_ENTAILMENT
dico_phrasis_0000013__en-en__original,dico_phrasis_0000013,en,en,Deputy Speaker of SA,as Sindh Assembly deputy speaker,BACKWARD_ENTAILMENT
dico_phrasis_0000014__en-en__flipped,dico_phrasis_0000014,en,en,'s youngest child Lady Soames,'s last child,FORWARD_ENTAILMENT
dico_phrasis_0000014__en-en__original,dico_phrasis_0000014,en,en,'s last child,'s youngest child Lady Soames,BACKWARD_ENTAILMENT
dico_phrasis_0000015__en-en__flipped,dico_phrasis_0000015,en,en,in Gulf waters,into sea,FORWARD_ENTAILMENT
dico_phrasis_0000015__en-en__original,dico_phrasis_0000015,en,en,into sea,in Gulf waters,BACKWARD_ENTAILMENT
dico_phrasis_0000016__en-en__flipped,dico_phrasis_0000016,en,en,as any president,'s president,FORWARD_ENTAILMENT
dico_phrasis_0000016__en-en__original,dico_phrasis_0000016,en,en,'s president,as any president,BACKWARD_ENTAILMENT
dico_phrasis_0000017__en-en__flipped,dico_phrasis_0000017,en,en,at New Orleans Parade Shooting,in New Orleans shooting,FORWARD_ENTAILMENT
dico_phrasis_0000017__en-en__original,dico_phrasis_0000017,en,en,in New Orleans shooting,at New Orleans Parade Shooting,BACKWARD_ENTAILMENT
dico_phrasis_0000020__en-en__flipped,dico_phrasis_0000020,en,en,MKO claim,claim,FORWARD_ENTAILMENT
dico_phrasis_0000020__en-en__original,dico_phrasis_0000020,en,en,claim,MKO claim,BACKWARD_ENTAILMENT
dico_phrasis_0000022__en-en__flipped,dico_phrasis_0000022,en,en,Australian ship,Ship,FORWARD_ENTAILMENT
dico_phrasis_0000022__en-en__original,dico_phrasis_0000022,en,en,Ship,Australian ship,BACKWARD_ENTAILMENT
dico_phrasis_0000025__en-en__flipped,dico_phrasis_0000025,en,en,for Boston victims,Boston victims,FORWARD_ENTAILMENT
dico_phrasis_0000025__en-en__original,dico_phrasis_0000025,en,en,Boston victims,for Boston victims,BACKWARD_ENTAILMENT
dico_phrasis_0000027__en-en__flipped,dico_phrasis_0000027,en,en,over Ed Snowden affair,over Edward Snowden,FORWARD_ENTAILMENT
dico_phrasis_0000027__en-en__original,dico_phrasis_0000027,en,en,over Edward Snowden,over Ed Snowden affair,BACKWARD_ENTAILMENT
dico_phrasis_0000028__en-en__flipped,dico_phrasis_0000028,en,en,for plan,proposal,FORWARD_ENTAILMENT
dico_phrasis_0000028__en-en__original,dico_phrasis_0000028,en,en,proposal,for plan,BACKWARD_ENTAILMENT
dico_phrasis_0000029__en-en__flipped,dico_phrasis_0000029,en,en,after full 5 years in captivity,after almost five years captivity,FORWARD_ENTAILMENT
dico_phrasis_0000029__en-en__original,dico_phrasis_0000029,en,en,after almost five years captivity,after full 5 years in captivity,BACKWARD_ENTAILMENT
dico_phrasis_0000033__en-en__flipped,dico_phrasis_0000033,en,en,9 foreign tourists and one Pakistani,10 foreign tourists,FORWARD_ENTAILMENT
dico_phrasis_0000033__en-en__original,dico_phrasis_0000033,en,en,10 foreign tourists,9 foreign tourists and one Pakistani,BACKWARD_ENTAILMENT
dico_phrasis_0000036__en-en__flipped,dico_phrasis_0000036,en,en,as Australia 's new Prime Minister,as Australian PM,FORWARD_ENTAILMENT
