instance_id,pair_id,text1_lang,text2_lang,text1,text2,label
dico_phrasis_0000001__es-es__flipped,dico_phrasis_0000001,es,es,Oposición conservadora,Conservadores,FORWARD_ENTAILMENT
dico_phrasis_0000001__es-es__original,dico_phrasis_0000001,es,es,Conservadores,Oposición conservadora,BACKWARD_ENTAILMENT
dico_phrasis_0000003__es-es__flipped,dico_phrasis_0000003,es,es,el primer ministro japonés Shinzo Abe,Abe,FORWARD_ENTAILMENT
dico_phrasis_0000003__es-es__original,dico_phrasis_0000003,es,es,Abe,el primer ministro japonés Shinzo Abe,BACKWARD_ENTAILMENT
dico_phrasis_0000005__es-es__flipped,dico_phrasis_0000005,es,es,misiles balísticos,misiles,FORWARD_ENTAILMENT
dico_phrasis_0000005__es-es__original,dico_phrasis_0000005,es,es,misiles,misiles balísticos,BACKWARD_ENTAILMENT
dico_phrasis_0000006__es-es__flipped,dico_phrasis_0000006,es,es,entre todos los muertos,entre 9 muertos,FORWARD_ENTAILMENT
dico_phrasis_0000006__es-es__original,dico_phrasis_0000006,es,es,entre 9 muertos,entre todos los muertos,BACKWARD_ENTAILMENT
dico_phrasis_0000009__es-es__flipped,dico_phrasis_0000009,es,es,89 muertos,22 muertos,FORWARD_ENTAILMENT
dico_phrasis_0000009__es-es__original,dico_phrasis_0000009,es,es,22 muertos,89 muertos,BACKWARD_ENTAILMENT
dico_phrasis_0000011__es-es__flipped,dico_phrasis_0000011,es,es,victoria aplastante,victoria,FORWARD_ENTAILMENT
dico_phrasis_0000011__es-es__original,dico_phrasis_0000011,es,es,victoria,victoria aplastante,BACKWARD_ENTAILMENT
dico_phrasis_0000012__es-es__flipped,dico_phrasis_0000012,es,es,en cualquier cama de hospital,en un hospital,FORWARD_ENTAILMENT
dico_phrasis_0000012__es-es__original,dico_phrasis_0000012,es,es,en un hospital,en cualquier cama de hospital,BACKWARD_ENTAILMENT
dico_phrasis_0000013__es-es__flipped,dico_phrasis_0000013,es,es,como vicepresidente de la Asamblea de Sindh,vicepresidente de la SA,FORWARD_ENTAILMENT
dico_phrasis_0000013__es-es__original,dico_phrasis_0000013,es,es,vicepresidente de la SA,como vicepresidente de la Asamblea de Sindh,BACKWARD_ENTAILMENT
dico_phrasis_0000014__es-es__flipped,dico_phrasis_0000014,es,es,"su hija menor, Lady Soames",su descendiente menor,FORWARD_ENTAILMENT
dico_phrasis_0000014__es-es__original,dico_phrasis_0000014,es,es,su descendiente menor,"su hija menor, Lady Soames",BACKWARD_ENTAILMENT
dico_phrasis_0000015__es-es__flipped,dico_phrasis_0000015,es,es,en aguas del Golfo,en el mar,FORWARD_ENTAILMENT
dico_phrasis_0000015__es-es__original,dico_phrasis_0000015,es,es,en el mar,en aguas del Golfo,BACKWARD_ENTAILMENT
dico_phrasis_0000016__es-es__flipped,dico_phrasis_0000016,es,es,como cualquier presidente,presidente de,FORWARD_ENTAILMENT
dico_phrasis_0000016__es-es__original,dico_phrasis_0000016,es,es,presidente de,como cualquier presidente,BACKWARD_ENTAILMENT
dico_phrasis_0000017__es-es__flipped,dico_phrasis_0000017,es,es,en el tiroteo del desfile de Nueva Orleans,en un tiroteo en Nueva Orleans,FORWARD_ENTAILMENT
dico_phrasis_0000017__es-es__original,dico_phrasis_0000017,es,es,en un tiroteo en Nueva Orleans,en el tiroteo del desfile de Nueva Orleans,BACKWARD_ENTAILMENT
