instance_id,pair_id,text1_lang,text2_lang,text1,text2,reverse_pair_id,label
dico_phrasis_0000001__eu-eu__flipped,dico_phrasis_0000001,eu,eu,Oposizio kontserbadorea,Kontserbadoreak,dico_phrasis_0000001__eu-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000001__eu-eu__original,dico_phrasis_0000001,eu,eu,Kontserbadoreak,Oposizio kontserbadorea,dico_phrasis_0000001__eu-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000003__eu-eu__flipped,dico_phrasis_0000003,eu,eu,Shinzo Abe Japoniako lehen ministroa,Abe,dico_phrasis_0000003__eu-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000003__eu-eu__original,dico_phrasis_0000003,eu,eu,Abe,Shinzo Abe Japoniako lehen ministroa,dico_phrasis_0000003__eu-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000005__eu-eu__flipped,dico_phrasis_0000005,eu,eu,misil balistikoak,misilak,dico_phrasis_0000005__eu-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000005__eu-eu__original,dico_phrasis_0000005,eu,eu,misilak,misil balistikoak,dico_phrasis_0000005__eu-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000006__eu-eu__flipped,dico_phrasis_0000006,eu,eu,hildako guztien artean,hildako 9 lagunen artean,dico_phrasis_0000006__eu-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000006__eu-eu__original,dico_phrasis_0000006,eu,eu,hildako 9 lagunen artean,hildako guztien artean,dico_phrasis_0000006__eu-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000009__eu-eu__flipped,dico_phrasis_0000009,eu,eu,89 hildako,22 hildako,dico_phrasis_0000009__eu-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000009__eu-eu__original,dico_phrasis_0000009,eu,eu,22 hildako,89 hildako,dico_phrasis_0000009__eu-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000011__eu-eu__flipped,dico_phrasis_0000011,eu,eu,garaipen zabala,-ren garaipena,dico_phrasis_0000011__eu-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000011__eu-eu__original,dico_phrasis_0000011,eu,eu,-ren garaipena,garaipen zabala,dico_phrasis_0000011__eu-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000012__eu-eu__flipped,dico_phrasis_0000012,eu,eu,ospitaleko edozein ohetan,ospitalean,dico_phrasis_0000012__eu-eu__original,FORWARD_ENTAILMENT
dico_phrasis_0000012__eu-eu__original,dico_phrasis_0000012,eu,eu,ospitalean,ospitaleko edozein ohetan,dico_phrasis_0000012__eu-eu__flipped,BACKWARD_ENTAILMENT
dico_phrasis_0000013__eu-eu__flipped,dico_phrasis_0000013,eu,eu,Sindh Asanbleako presidenteorde gisa,SAko presidenteordea,dico_phrasis_0000013__eu-eu__original,FORWARD_ENTAILMENT
