instance_id,pair_id,text1_lang,text2_lang,text1,text2,reverse_pair_id,label
dico_phrasis_0000022__es-es__forward,dico_phrasis_0000022,es,es,Barco,Barco australiano,dico_phrasis_0000022__es-es__reverse,BACKWARD_ENTAILMENT
dico_phrasis_0000022__es-es__reverse,dico_phrasis_0000022,es,es,Barco australiano,Barco,dico_phrasis_0000022__es-es__forward,FORWARD_ENTAILMENT
dico_phrasis_0000024__es-es__forward,dico_phrasis_0000024,es,es,destruir,al destruir,dico_phrasis_0000024__es-es__reverse,BACKWARD_ENTAILMENT
dico_phrasis_0000024__es-es__reverse,dico_phrasis_0000024,es,es,al destruir,destruir,dico_phrasis_0000024__es-es__forward,FORWARD_ENTAILMENT
dico_phrasis_0000028__es-es__forward,dico_phrasis_0000028,es,es,propuesta,para plan,dico_phrasis_0000028__es-es__reverse,BACKWARD_ENTAILMENT
dico_phrasis_0000028__es-es__reverse,dico_phrasis_0000028,es,es,para plan,propuesta,dico_phrasis_0000028__es-es__forward,FORWARD_ENTAILMENT
dico_phrasis_0000036__es-es__forward,dico_phrasis_0000036,es,es,como primer ministro australiano,como nuevo primer ministro de Australia,dico_phrasis_0000036__es-es__reverse,BACKWARD_ENTAILMENT
dico_phrasis_0000036__es-es__reverse,dico_phrasis_0000036,es,es,como nuevo primer ministro de Australia,como primer ministro australiano,dico_phrasis_0000036__es-es__forward,FORWARD_ENTAILMENT
dico_phrasis_0000040__es-es__forward,dico_phrasis_0000040,es,es,Policía,Policía turca,dico_phrasis_0000040__es-es__reverse,BACKWARD_ENTAILMENT
dico_phrasis_0000040__es-es__reverse,dico_phrasis_0000040,es,es,Policía turca,Policía,dico_phrasis_0000040__es-es__forward,FORWARD_ENTAILMENT
dico_phrasis_0000041__es-es__forward,dico_phrasis_0000041,es,es,cañón de agua,"gas lacrimógeno, cañón de agua",dico_phrasis_0000041__es-es__reverse,BACKWARD_ENTAILMENT
dico_phrasis_0000041__es-es__reverse,dico_phrasis_0000041,es,es,"gas lacrimógeno, cañón de agua",cañón de agua,dico_phrasis_0000041__es-es__forward,FORWARD_ENTAILMENT
dico_phrasis_0000054__es-es__forward,dico_phrasis_0000054,es,es,de Bengasi,en Bengasi,dico_phrasis_0000054__es-es__reverse,BACKWARD_ENTAILMENT
dico_phrasis_0000054__es-es__reverse,dico_phrasis_0000054,es,es,en Bengasi,de Bengasi,dico_phrasis_0000054__es-es__forward,FORWARD_ENTAILMENT
dico_phrasis_0000056__es-es__forward,dico_phrasis_0000056,es,es,30 misiles de corto alcance,misiles de corto alcance,dico_phrasis_0000056__es-es__reverse,BACKWARD_ENTAILMENT
dico_phrasis_0000056__es-es__reverse,dico_phrasis_0000056,es,es,misiles de corto alcance,30 misiles de corto alcance,dico_phrasis_0000056__es-es__forward,FORWARD_ENTAILMENT
dico_phrasis_0000057__es-es__forward,dico_phrasis_0000057,es,es,castillo de los cruzados,histórico castillo de los cruzados,dico_phrasis_0000057__es-es__reverse,BACKWARD_ENTAILMENT
dico_phrasis_0000057__es-es__reverse,dico_phrasis_0000057,es,es,histórico castillo de los cruzados,castillo de los cruzados,dico_phrasis_0000057__es-es__forward,FORWARD_ENTAILMENT
dico_phrasis_0000060__es-es__forward,dico_phrasis_0000060,es,es,Cinco personas,cinco hombres,dico_phrasis_0000060__es-es__reverse,BACKWARD_ENTAILMENT
dico_phrasis_0000060__es-es__reverse,dico_phrasis_0000060,es,es,cinco hombres,Cinco personas,dico_phrasis_0000060__es-es__forward,FORWARD_ENTAILMENT
dico_phrasis_0000074__es-es__forward,dico_phrasis_0000074,es,es,Juez,juez de EE. UU.,dico_phrasis_0000074__es-es__reverse,BACKWARD_ENTAILMENT
