instance_id,pair_id,text1_lang,text2_lang,text1,text2
dico_trial_0001__eu-eu__forward,dico_trial_0001,eu,eu,91 urterekin,91 urte zituela
dico_trial_0001__eu-eu__reverse,dico_trial_0001,eu,eu,91 urte zituela,91 urterekin
dico_trial_0002__eu-eu__forward,dico_trial_0002,eu,eu,Olinpiar Jokoetan,Olinpiar Jokoetan
dico_trial_0002__eu-eu__reverse,dico_trial_0002,eu,eu,Olinpiar Jokoetan,Olinpiar Jokoetan
dico_trial_0003__eu-eu__forward,dico_trial_0003,eu,eu,baimentzeko,baimenduta
dico_trial_0003__eu-eu__reverse,dico_trial_0003,eu,eu,baimenduta,baimentzeko
dico_trial_0004__eu-eu__forward,dico_trial_0004,eu,eu,Txinako akzioak,Txinako akzioak
dico_trial_0004__eu-eu__reverse,dico_trial_0004,eu,eu,Txinako akzioak,Txinako akzioak
dico_trial_0005__eu-eu__forward,dico_trial_0005,eu,eu,erretiroa iragarri du,erretiratu da
dico_trial_0005__eu-eu__reverse,dico_trial_0005,eu,eu,erretiratu da,erretiroa iragarri du
dico_trial_0006__eu-eu__forward,dico_trial_0006,eu,eu,George W. Bush,George W. Bush
dico_trial_0006__eu-eu__reverse,dico_trial_0006,eu,eu,George W. Bush,George W. Bush
dico_trial_0007__eu-eu__forward,dico_trial_0007,eu,eu,bi kazetari frantses,bi kazetari frantses
dico_trial_0007__eu-eu__reverse,dico_trial_0007,eu,eu,bi kazetari frantses,bi kazetari frantses
dico_trial_0008__eu-eu__forward,dico_trial_0008,eu,eu,bi zauritu,bi zauritu
dico_trial_0008__eu-eu__reverse,dico_trial_0008,eu,eu,bi zauritu,bi zauritu
dico_trial_0009__eu-eu__forward,dico_trial_0009,eu,eu,AEBetako ipar-ekialdea,AEBetako ipar-ekialdea
dico_trial_0009__eu-eu__reverse,dico_trial_0009,eu,eu,AEBetako ipar-ekialdea,AEBetako ipar-ekialdea
dico_trial_0010__eu-eu__forward,dico_trial_0010,eu,eu,AEB,AEB
dico_trial_0010__eu-eu__reverse,dico_trial_0010,eu,eu,AEB,AEB
dico_trial_0011__eu-eu__forward,dico_trial_0011,eu,eu,2020ko Olinpiar Jokoak,2020ko Olinpiar Jokoak
dico_trial_0011__eu-eu__reverse,dico_trial_0011,eu,eu,2020ko Olinpiar Jokoak,2020ko Olinpiar Jokoak
dico_trial_0012__eu-eu__forward,dico_trial_0012,eu,eu,Ipar Korea,Ipar Korea
dico_trial_0012__eu-eu__reverse,dico_trial_0012,eu,eu,Ipar Korea,Ipar Korea
dico_trial_0013__eu-eu__forward,dico_trial_0013,eu,eu,Filipinak,Filipinak
dico_trial_0013__eu-eu__reverse,dico_trial_0013,eu,eu,Filipinak,Filipinak
dico_trial_0014__eu-eu__forward,dico_trial_0014,eu,eu,NBEren ebazpena,NBEren ebazpena
dico_trial_0014__eu-eu__reverse,dico_trial_0014,eu,eu,NBEren ebazpena,NBEren ebazpena
dico_trial_0015__eu-eu__forward,dico_trial_0015,eu,eu,Ipar Korea,Ipar Korea
dico_trial_0015__eu-eu__reverse,dico_trial_0015,eu,eu,Ipar Korea,Ipar Korea
dico_trial_0016__eu-eu__forward,dico_trial_0016,eu,eu,oinez,oinez ari da
dico_trial_0016__eu-eu__reverse,dico_trial_0016,eu,eu,oinez ari da,oinez
dico_trial_0017__eu-eu__forward,dico_trial_0017,eu,eu,posatzen ari dira,posatzen
dico_trial_0017__eu-eu__reverse,dico_trial_0017,eu,eu,posatzen,posatzen ari dira
dico_trial_0018__eu-eu__forward,dico_trial_0018,eu,eu,argazki baterako,argazki baterako
dico_trial_0018__eu-eu__reverse,dico_trial_0018,eu,eu,argazki baterako,argazki baterako
dico_trial_0019__eu-eu__forward,dico_trial_0019,eu,eu,mutil gazte bat,mutil gazte bat
dico_trial_0019__eu-eu__reverse,dico_trial_0019,eu,eu,mutil gazte bat,mutil gazte bat
dico_trial_0020__eu-eu__forward,dico_trial_0020,eu,eu,eusten,eusten ari da
dico_trial_0020__eu-eu__reverse,dico_trial_0020,eu,eu,eusten ari da,eusten
dico_trial_0021__eu-eu__forward,dico_trial_0021,eu,eu,emakumea,emakume bat
dico_trial_0021__eu-eu__reverse,dico_trial_0021,eu,eu,emakume bat,emakumea
dico_trial_0022__eu-eu__forward,dico_trial_0022,eu,eu,uretara,uretan
dico_trial_0022__eu-eu__reverse,dico_trial_0022,eu,eu,uretan,uretara
dico_trial_0023__eu-eu__forward,dico_trial_0023,eu,eu,saltoka ari da,saltoka
dico_trial_0023__eu-eu__reverse,dico_trial_0023,eu,eu,saltoka,saltoka ari da
dico_trial_0024__eu-eu__forward,dico_trial_0024,eu,eu,txakur pare bat,bi txakur
dico_trial_0024__eu-eu__reverse,dico_trial_0024,eu,eu,bi txakur,txakur pare bat
dico_trial_0025__eu-eu__forward,dico_trial_0025,eu,eu,jantzita,jantzita dago
dico_trial_0025__eu-eu__reverse,dico_trial_0025,eu,eu,jantzita dago,jantzita
dico_trial_0026__eu-eu__forward,dico_trial_0026,eu,eu,oinez ari dira,oinez
dico_trial_0026__eu-eu__reverse,dico_trial_0026,eu,eu,oinez,oinez ari dira
dico_trial_0027__eu-eu__forward,dico_trial_0027,eu,eu,txakur beltz bat,txakur beltza
dico_trial_0027__eu-eu__reverse,dico_trial_0027,eu,eu,txakur beltza,txakur beltz bat
dico_trial_0028__eu-eu__forward,dico_trial_0028,eu,eu,uretan,uretan
dico_trial_0028__eu-eu__reverse,dico_trial_0028,eu,eu,uretan,uretan
dico_trial_0029__eu-eu__forward,dico_trial_0029,eu,eu,geltoki batean,geltokian
dico_trial_0029__eu-eu__reverse,dico_trial_0029,eu,eu,geltokian,geltoki batean
dico_trial_0030__eu-eu__forward,dico_trial_0030,eu,eu,Apple ordenagailu bat,Macintosh ordenagailu bat
dico_trial_0030__eu-eu__reverse,dico_trial_0030,eu,eu,Macintosh ordenagailu bat,Apple ordenagailu bat
dico_trial_0031__eu-eu__forward,dico_trial_0031,eu,eu,AEBetako dron erasoa,dron eraso bat
dico_trial_0031__eu-eu__reverse,dico_trial_0031,eu,eu,dron eraso bat,AEBetako dron erasoa
dico_trial_0032__eu-eu__forward,dico_trial_0032,eu,eu,merkataritza-guneko erasotzaileak,erasotzaileak
dico_trial_0032__eu-eu__reverse,dico_trial_0032,eu,eu,erasotzaileak,merkataritza-guneko erasotzaileak
dico_trial_0033__eu-eu__forward,dico_trial_0033,eu,eu,Thailandiako oposizioko alderdia,Thailandiako oposizioa
dico_trial_0033__eu-eu__reverse,dico_trial_0033,eu,eu,Thailandiako oposizioa,Thailandiako oposizioko alderdia
dico_trial_0034__eu-eu__forward,dico_trial_0034,eu,eu,immigrazioari buruzko eztabaida gogorra,immigrazioari buruzko eztabaida
dico_trial_0034__eu-eu__reverse,dico_trial_0034,eu,eu,immigrazioari buruzko eztabaida,immigrazioari buruzko eztabaida gogorra
