instance_id,pair_id,text1_lang,text2_lang,text1,text2,label
dico_phrasis_0000022__en-en__forward,dico_phrasis_0000022,en,en,Ship,Australian ship,BACKWARD_ENTAILMENT
dico_phrasis_0000022__en-en__reverse,dico_phrasis_0000022,en,en,Australian ship,Ship,FORWARD_ENTAILMENT
dico_phrasis_0000024__en-en__forward,dico_phrasis_0000024,en,en,destroy,in destroying,BACKWARD_ENTAILMENT
dico_phrasis_0000024__en-en__reverse,dico_phrasis_0000024,en,en,in destroying,destroy,FORWARD_ENTAILMENT
dico_phrasis_0000028__en-en__forward,dico_phrasis_0000028,en,en,proposal,for plan,BACKWARD_ENTAILMENT
dico_phrasis_0000028__en-en__reverse,dico_phrasis_0000028,en,en,for plan,proposal,FORWARD_ENTAILMENT
dico_phrasis_0000036__en-en__forward,dico_phrasis_0000036,en,en,as Australian PM,as Australia 's new Prime Minister,BACKWARD_ENTAILMENT
dico_phrasis_0000036__en-en__reverse,dico_phrasis_0000036,en,en,as Australia 's new Prime Minister,as Australian PM,FORWARD_ENTAILMENT
dico_phrasis_0000040__en-en__forward,dico_phrasis_0000040,en,en,Police,Turkish police,BACKWARD_ENTAILMENT
dico_phrasis_0000040__en-en__reverse,dico_phrasis_0000040,en,en,Turkish police,Police,FORWARD_ENTAILMENT
dico_phrasis_0000041__en-en__forward,dico_phrasis_0000041,en,en,water cannon,"teargas , water cannon",BACKWARD_ENTAILMENT
dico_phrasis_0000041__en-en__reverse,dico_phrasis_0000041,en,en,"teargas , water cannon",water cannon,FORWARD_ENTAILMENT
dico_phrasis_0000054__en-en__forward,dico_phrasis_0000054,en,en,'s Benghazi,in Benghazi,BACKWARD_ENTAILMENT
dico_phrasis_0000054__en-en__reverse,dico_phrasis_0000054,en,en,in Benghazi,'s Benghazi,FORWARD_ENTAILMENT
dico_phrasis_0000056__en-en__forward,dico_phrasis_0000056,en,en,30 short-range missiles,short-range missiles,BACKWARD_ENTAILMENT
dico_phrasis_0000056__en-en__reverse,dico_phrasis_0000056,en,en,short-range missiles,30 short-range missiles,FORWARD_ENTAILMENT
dico_phrasis_0000057__en-en__forward,dico_phrasis_0000057,en,en,Crusader castle,historic Crusader castle,BACKWARD_ENTAILMENT
dico_phrasis_0000057__en-en__reverse,dico_phrasis_0000057,en,en,historic Crusader castle,Crusader castle,FORWARD_ENTAILMENT
dico_phrasis_0000060__en-en__forward,dico_phrasis_0000060,en,en,Five people,five men,BACKWARD_ENTAILMENT
dico_phrasis_0000060__en-en__reverse,dico_phrasis_0000060,en,en,five men,Five people,FORWARD_ENTAILMENT
dico_phrasis_0000074__en-en__forward,dico_phrasis_0000074,en,en,Judge,U.S. judge,BACKWARD_ENTAILMENT
dico_phrasis_0000074__en-en__reverse,dico_phrasis_0000074,en,en,U.S. judge,Judge,FORWARD_ENTAILMENT
dico_phrasis_0000083__en-en__forward,dico_phrasis_0000083,en,en,Canada,Canadian government,BACKWARD_ENTAILMENT
dico_phrasis_0000083__en-en__reverse,dico_phrasis_0000083,en,en,Canadian government,Canada,FORWARD_ENTAILMENT
dico_phrasis_0000084__en-en__forward,dico_phrasis_0000084,en,en,oil pipeline,controversial oil pipeline,BACKWARD_ENTAILMENT
dico_phrasis_0000084__en-en__reverse,dico_phrasis_0000084,en,en,controversial oil pipeline,oil pipeline,FORWARD_ENTAILMENT
dico_phrasis_0000085__en-en__forward,dico_phrasis_0000085,en,en,sanctions,arms trafficking charges,BACKWARD_ENTAILMENT
dico_phrasis_0000085__en-en__reverse,dico_phrasis_0000085,en,en,arms trafficking charges,sanctions,FORWARD_ENTAILMENT
dico_phrasis_0000094__en-en__forward,dico_phrasis_0000094,en,en,Palestinian diplomat,Palestinian ambassador,BACKWARD_ENTAILMENT
dico_phrasis_0000094__en-en__reverse,dico_phrasis_0000094,en,en,Palestinian ambassador,Palestinian diplomat,FORWARD_ENTAILMENT
dico_phrasis_0000097__en-en__forward,dico_phrasis_0000097,en,en,Two women,Two ladies,BACKWARD_ENTAILMENT
