instance_id,pair_id,text1_lang,text2_lang,text1,text2,label
dico_phrasis_0000022__en-es__forward,dico_phrasis_0000022,en,es,Ship,Barco australiano,BACKWARD_ENTAILMENT
dico_phrasis_0000022__en-es__reverse,dico_phrasis_0000022,en,es,Australian ship,Barco,FORWARD_ENTAILMENT
dico_phrasis_0000022__en-eu__forward,dico_phrasis_0000022,en,eu,Ship,Australiako ontzia,BACKWARD_ENTAILMENT
dico_phrasis_0000022__en-eu__reverse,dico_phrasis_0000022,en,eu,Australian ship,Ontzia,FORWARD_ENTAILMENT
dico_phrasis_0000022__es-en__forward,dico_phrasis_0000022,es,en,Barco,Australian ship,BACKWARD_ENTAILMENT
dico_phrasis_0000022__es-en__reverse,dico_phrasis_0000022,es,en,Barco australiano,Ship,FORWARD_ENTAILMENT
dico_phrasis_0000022__es-eu__forward,dico_phrasis_0000022,es,eu,Barco,Australiako ontzia,BACKWARD_ENTAILMENT
dico_phrasis_0000022__es-eu__reverse,dico_phrasis_0000022,es,eu,Barco australiano,Ontzia,FORWARD_ENTAILMENT
dico_phrasis_0000022__eu-en__forward,dico_phrasis_0000022,eu,en,Ontzia,Australian ship,BACKWARD_ENTAILMENT
dico_phrasis_0000022__eu-en__reverse,dico_phrasis_0000022,eu,en,Australiako ontzia,Ship,FORWARD_ENTAILMENT
dico_phrasis_0000022__eu-es__forward,dico_phrasis_0000022,eu,es,Ontzia,Barco australiano,BACKWARD_ENTAILMENT
dico_phrasis_0000022__eu-es__reverse,dico_phrasis_0000022,eu,es,Australiako ontzia,Barco,FORWARD_ENTAILMENT
dico_phrasis_0000024__en-es__forward,dico_phrasis_0000024,en,es,destroy,al destruir,BACKWARD_ENTAILMENT
dico_phrasis_0000024__en-es__reverse,dico_phrasis_0000024,en,es,in destroying,destruir,FORWARD_ENTAILMENT
dico_phrasis_0000024__en-eu__forward,dico_phrasis_0000024,en,eu,destroy,suntsitzean,BACKWARD_ENTAILMENT
dico_phrasis_0000024__en-eu__reverse,dico_phrasis_0000024,en,eu,in destroying,suntsitu,FORWARD_ENTAILMENT
dico_phrasis_0000024__es-en__forward,dico_phrasis_0000024,es,en,destruir,in destroying,BACKWARD_ENTAILMENT
dico_phrasis_0000024__es-en__reverse,dico_phrasis_0000024,es,en,al destruir,destroy,FORWARD_ENTAILMENT
dico_phrasis_0000024__es-eu__forward,dico_phrasis_0000024,es,eu,destruir,suntsitzean,BACKWARD_ENTAILMENT
dico_phrasis_0000024__es-eu__reverse,dico_phrasis_0000024,es,eu,al destruir,suntsitu,FORWARD_ENTAILMENT
dico_phrasis_0000024__eu-en__forward,dico_phrasis_0000024,eu,en,suntsitu,in destroying,BACKWARD_ENTAILMENT
dico_phrasis_0000024__eu-en__reverse,dico_phrasis_0000024,eu,en,suntsitzean,destroy,FORWARD_ENTAILMENT
dico_phrasis_0000024__eu-es__forward,dico_phrasis_0000024,eu,es,suntsitu,al destruir,BACKWARD_ENTAILMENT
